"Price","Build.year","Estimated.neighbourhood.price.per.m2","Lot.size.m2","Living.space.size.m2","Nieuwbouw","Number.of.kamers","Number.of.slaapkamers","Number.of.bathrooms","Number.of.separate.toilets","Number.of.woonlagen","Kelder","Energy.label.numeric","Garden.dummy"
365000,"1969",1350,357,132,0,6,5,1,1,3,0,6,1
375000,"1972",1280,133,132,0,6,4,1,1,3,0,7,1
375000,"1980",810,220,121,0,5,4,1,1,3,0,7,1
250000,"1987",4310,295,98,0,5,4,1,1,3,0,6,1
975000,"2020",165,990,297,0,9,8,3,1,2,0,11,1
375000,"2000",770,167,146,0,5,3,1,1,3,0,8,1
350000,"1987",3335,147,123,0,4,4,1,1,3,0,7,1
450000,"1972",3570,390,152,0,6,5,1,1,3,0,6,1
575000,"1930",2150,119,137,0,5,4,2,1,3,0,2,1
550000,"1990",2010,295,110,0,4,3,1,1,2,0,5,1
550000,"2015",4580,325,179,0,6,5,1,1,3,0,8,1
685000,"1976",525,1370,155,0,4,3,1,2,2,0,6,1
450000,"1977",7045,154,176,0,6,5,1,1,3,0,6,1
287500,"1973",1325,238,107,0,5,4,1,1,3,0,6,1
250000,"1963",2015,300,102,0,6,3,1,2,3,1,3,1
325000,"1961",3350,262,101,0,4,3,1,1,2,0,3,1
350000,"1996",4055,231,91,0,4,3,1,1,3,0,7,1
435000,"1967",7710,150,128,0,4,3,1,1,3,0,6,1
425000,"1960",3850,180,126,0,5,4,1,1,2,0,6,1
725000,"1936",6170,143,131,0,7,4,1,2,3,1,6,1
545000,"1998",720,430,129,0,3,2,1,2,2,0,7,1
775000,"2000",2050,1176,201,0,7,3,1,1,2,0,7,1
390000,"1982",2000,135,127,0,6,6,1,1,3,0,7,1
475000,"1995",2325,229,135,0,5,4,1,2,2,0,7,1
399000,"1973",2020,175,128,0,6,5,1,1,3,0,8,1
395000,"1982",1555,176,115,0,5,4,1,1,3,0,5,1
375000,"1932",3630,187,103,0,4,2,1,1,3,1,4,1
279500,"1932",3165,103,113,0,7,4,1,1,2,0,5,0
395000,"1997",2805,146,106,0,4,3,1,1,2,0,7,1
295000,"1955",1720,70,61,0,3,2,1,1,2,0,6,1
219000,"1983",1350,129,61,0,3,2,1,1,2,0,7,1
325000,"1973",1615,130,122,0,5,3,1,1,3,0,6,1
575000,"2002",3205,512,165,0,7,4,1,1,3,1,8,1
325000,"2010",7270,69,72,0,3,2,1,1,2,0,8,1
495000,"1978",3280,904,165,0,6,5,1,1,2,1,6,1
1150000,"1917",9775,160,230,0,8,6,2,3,3,1,6,1
550000,"1982",1320,171,126,0,5,4,1,1,3,0,7,1
340000,"2000",6260,130,109,0,5,4,1,1,3,0,8,1
575000,"1964",2615,305,140,0,5,4,1,1,3,0,6,1
319000,"1975",4685,226,128,0,6,5,1,1,3,0,6,1
389000,"1986",2775,170,128,0,5,4,1,1,2,0,6,1
385000,"1975",990,126,121,0,5,4,1,1,3,0,5,1
539000,"1997",2575,208,133,0,6,4,1,1,3,0,7,1
575000,"1950",1755,263,166,0,8,6,1,1,3,1,4,1
298000,"2006",315,329,120,0,5,4,2,1,2,0,7,1
249000,"1995",1590,156,82,0,5,3,1,1,2,0,7,1
369000,"2000",1735,181,132,0,5,3,1,1,3,0,8,1
395000,"1992",1790,146,106,0,4,2,1,1,3,0,6,1
549000,"1930",2260,290,163,0,7,4,1,1,2,0,6,1
294000,"1994",5770,132,80,0,5,4,1,0,3,0,8,1
695000,"2016",3255,234,154,0,4,3,1,1,3,0,8,1
695000,"1987",45,7208,144,0,5,4,1,1,3,0,6,1
259500,"1962",1695,125,76,0,4,3,1,1,2,0,4,1
698000,"1983",5420,265,152,0,6,4,1,1,3,0,6,1
725000,"1980",4300,615,353,0,9,6,3,2,3,0,6,1
350000,"1938",1510,100,87,0,5,4,1,1,3,0,2,1
335000,"1987",2155,156,104,0,4,3,1,1,3,0,6,1
295000,"1931",2015,193,77,0,4,3,1,1,2,0,3,1
279000,"1954",3400,161,102,0,8,4,1,0,2,0,6,1
245000,"1920",3405,99,77,0,3,2,1,0,2,0,3,1
850000,"1960",13625,109,152,0,6,5,2,2,3,0,5,1
399000,"2006",4730,157,128,0,5,4,1,1,3,0,8,1
925000,"1971",1185,1156,272,0,7,4,1,1,2,1,6,1
425000,"1972",1550,160,121,0,6,4,1,1,3,0,6,1
365000,"1979",775,169,132,0,5,4,1,1,3,0,7,1
269000,"1968",4415,270,102,0,5,4,1,1,2,0,7,1
450000,"1994",5695,174,121,0,4,3,1,1,3,0,7,0
1295000,"1995",1190,1115,205,0,7,5,1,1,3,0,7,1
795000,"1978",3575,649,197,0,7,6,2,1,3,0,7,1
385000,"1965",3270,312,104,0,5,4,1,1,3,0,6,1
385000,"1871",2805,662,79,0,4,2,1,1,3,0,2,0
350000,"2016",2020,91,94,0,3,2,1,1,2,0,8,0
3e+05,"1987",22330,116,108,0,5,4,1,1,3,0,7,1
250000,"1982",5465,173,85,0,4,2,1,1,2,0,6,1
3e+05,"1955",3650,122,68,0,3,2,1,1,2,0,6,1
3e+05,"1973",655,156,133,0,5,4,1,1,3,0,7,1
319000,"1920",5420,125,112,0,5,2,1,1,3,1,4,1
379000,"1999",2430,255,113,0,4,3,1,1,2,0,7,1
1050000,"2019",3690,204,231,0,7,6,2,2,3,0,8,1
4e+05,"2003",920,209,120,0,3,2,1,1,2,0,8,1
1150000,"2000",405,5855,192,0,5,4,1,2,2,1,7,1
749000,"1930",2225,273,143,0,5,4,2,1,2,1,3,1
325000,"1932",3440,87,68,0,3,2,1,0,2,0,6,1
495000,"2008",1560,137,142,0,5,4,1,1,3,0,8,1
750000,"1922",6900,147,222,0,7,2,1,2,3,1,5,1
295000,"1993",3820,345,130,0,4,3,1,1,3,0,8,1
360000,"1948",6790,254,80,0,3,2,1,1,2,0,6,1
279500,"1966",10190,128,79,0,4,3,1,1,2,0,5,1
415000,"1969",2240,164,125,0,5,4,1,1,3,0,5,1
850000,"1980",375,826,172,0,6,4,2,2,3,0,6,1
1198000,"2021",3080,95,226,0,5,3,1,2,3,0,8,0
495000,"1966",1735,570,110,0,5,4,1,1,2,0,4,1
385000,"",2135,227,117,0,5,4,1,1,2,0,8,1
250000,"1997",4850,152,103,0,5,4,1,1,2,0,7,1
1100000,"1924",965,584,165,0,7,6,1,0,3,0,6,1
475000,"1936",190,1710,139,0,5,4,1,1,2,0,6,1
350000,"1919",2805,195,110,0,4,3,1,1,3,0,4,1
495000,"1936",1005,250,195,0,5,4,1,1,3,1,5,1
650000,"2021",3160,133,139,0,5,4,1,1,3,0,11,1
575000,"2018",955,190,137,0,5,3,1,1,3,0,8,1
595000,"1993",6105,337,173,0,5,4,1,1,3,0,8,1
550000,"1985",4730,264,146,0,5,4,1,2,2,0,7,1
435000,"2010",2260,105,110,0,4,3,1,1,3,0,8,1
239500,"1972",815,157,106,0,5,4,1,1,2,0,6,1
625000,"1910",1200,370,139,0,6,5,1,2,2,1,6,0
3e+05,"1981",1330,145,108,0,5,4,1,1,3,0,7,1
150000,"1959",2245,185,94,0,5,3,1,1,2,1,4,1
2925000,"1930",8545,147,242,0,9,7,3,1,4,1,6,1
539000,"1927",2020,96,129,0,6,3,2,1,3,0,7,1
210000,"1958",3425,154,83,0,4,3,1,1,2,1,7,1
350000,"1978",3430,158,132,0,5,4,1,1,3,0,6,1
195000,"1962",6820,250,71,0,5,3,1,1,2,0,2,1
695000,"1966",340,23050,113,0,5,4,2,1,2,0,4,1
925000,"2003",2940,412,230,0,7,5,1,2,2,0,8,1
775000,"2009",4985,605,231,0,7,5,2,1,2,0,8,1
535000,"1994",5440,344,153,0,6,4,1,1,2,0,8,1
349000,"1900",260,291,106,0,4,3,1,1,2,0,6,1
549500,"1850",585,210,210,0,5,3,1,2,2,0,6,1
399500,"1991",2765,238,153,0,6,4,1,1,3,0,8,1
945000,"1977",6515,1187,262,0,8,5,2,1,2,0,6,1
639000,"1935",2235,342,112,0,4,3,1,1,2,0,2,1
525000,"1998",985,547,178,0,6,4,1,1,3,0,7,1
385000,"1987",2775,132,123,0,5,4,1,1,3,0,7,1
475000,"1973",2020,152,140,0,5,4,2,1,3,0,6,1
275000,"1981",2160,130,98,0,4,3,1,1,3,0,6,1
373000,"1934",1410,148,110,0,5,3,1,1,3,0,3,1
475000,"1924",545,1020,115,0,6,4,1,1,2,1,2,1
425000,"2004",9275,138,115,0,4,3,1,1,3,0,8,1
475000,"1986",1340,184,122,0,4,3,1,1,3,0,7,1
695000,"1972",5395,827,206,0,6,5,2,1,2,0,6,1
550000,"1990",2575,385,137,0,6,5,1,1,3,0,7,1
385000,"1994",3045,696,204,0,6,4,1,1,3,0,6,1
3e+05,"1964",4170,296,103,0,5,3,1,1,3,0,5,1
295000,"1974",1735,188,138,0,5,4,1,1,2,0,6,1
649000,"2008",6035,383,173,0,7,5,1,1,2,0,8,1
360000,"1976",1880,152,119,0,5,4,1,1,3,0,7,1
319000,"1988",4260,162,86,0,4,3,1,1,2,0,8,1
538000,"1990",735,503,167,0,7,6,1,1,3,0,6,1
